Field name,Description,Field Type Closed,Field Type Ongoing,Data Type,Examples
StudyDetails,"Brief description of the study. For in vitro studies, 1) describe relevance of test system to tissue/organ/species of interest, 2) Provide details of the mechanistic understanding, and 3) elaborate on the defining features of the test system, if applicable.<br><br>Provide necessary background information for the end user to understand the rationale for why the study was undertaken, including the regulatory question(s), if any.<br><br>According to ISA-tab, study is a unit of research; and “contains contextualising information for one or more Assay"".<br><br>Ref: https://isa-specs.readthedocs.io/en/latest/isamodel.html#study",Mandatory,Mandatory,Text,NA
ToxicityDomain,The main organ or organ system that is being explored for toxic impacts,Mandatory,Mandatory,Text,"carcinogenesis, hepatotoxicity, renal toxicity, neurotoxicity, reproductive toxicity, endocrine toxicity, immunotoxicity, developmental toxicity"
ToxicologicalEndpoint,"Toxicological endpoint is more specific when compared to toxicity domain.  .<br><br>A direct marker of progression to an adverse outcome - e.g., morphological or physiological changes, functional impairments, disease symptoms or death - used to describe an adverse health effect (or a probability of that adverse effect) resulting from exposure to a test item. The test system response to an exposure of a test item may be measured by a series of endpoints. The most sensitive endpoint (critical endpoint) is the one that occurs at the lowest exposure level and associated with an adverse response (committed step)<br><br> (ref: GIVIMP Second edition)",Mandatory,Mandatory,Text,"Cytotoxicity/cell death, cell proliferation, oxidative stress, membrane depolarisation, cytokine expression, differential gene expression etc."
TypeOfTestSystem,"A test system is any biological, chemical or physical system or a combination thereof used in a study: ref: OECD (2018), Guidance Document on Good In Vitro Method Practices (GIVIMP))<br><br>Examples of physical chemical-based test systems: serum protein, peptide, enzyme.<br><br>Select complex biological test system for example in case of: 3D model, induced pluripotent stem cells, organ on a chip, co-cultures, etc.<br><br>Select from dropdown 'other:' in case you don't find a suitable option, for example when your test system is a test kit or a lower organism.<br><br>Selection from the dropdown in Excel.",Mandatory,Mandatory,Text,NA
DescriptionOf TestSystem,"Decribe the cell lines, if co-culture or mixed cultures.",Recommended,Recommended,Text,
Organism,"A living entity.<br><br>(Alternate definition: A living thing, such as an animal, a plant, a bacterium, or a fungus.; Any individual living (or previously living) being).<br><br>Ref: https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C14250<br><br>Common name for the provided NCBI taxon ID. Latin name of species can be used, if appropriate.",Recommended,Recommended,Text,"Human, Caenorhabditis elegans, Danio rerio, Daphnia magna, Mus musculus"
TaxonomyID,"An ontology representation of the NCBI organismal taxonomy, represented in NCBITaxon:0000 format<br><br>Ref: Scott Federhen, The NCBI Taxonomy database, Nucleic Acids Research, Volume 40, Issue D1, 1 January 2012, Pages D136–D143, https://doi.org/10.1093/nar/gkr1178<br><br>Weblink for the Taxonomy ID:https://www.ncbi.nlm.nih.gov/Taxonomy/TaxIdentifier/tax_identifier.cgi",Recommended,Recommended,String,"NCBITaxon :9606 (Homo sapiens), NCBITaxon: 6239 (Caenorhabditis elegans)"
OrganOntologyID,"Provide the accession number or reference from the Ontology Source associated with the anatomical entity/organ or tissue e.g. use Uber-anatomy ontology for the ID or use ontology of biomedical investigations (OBI) or Foundational Models of Anatomy (FMA) for human specific.<br><br>Refer:<br><br>https://www.ebi.ac.uk/ols4/ontologies/uberon (multispecies anatomy ontology, links human, zebrafish, mouse, etc.)<br><br>https://ontobee.org/ontology/OBI<br><br>https://bioportal.bioontology.org/ontologies/FMA",Recommended,Recommended,"Text, URL",UBERON:0002113 for kidney; http://purl.obolibrary.org/obo/UBERON_0002048
CellType,"Cell Type is advised to be described as per resources, such as  atlases/Pan_Immune_CellTypist/v2/encyclopedia/encyclopedia_table.xlsx of the CellTypist (for Immune cells)<br><br>HuBMAP Common Coordinate Framework (CCF) ASCT+B tables (e.g. https://apps.humanatlas.io/kg-explorer/ for cell types as per anatomical structures)<br><br>Cell Ontology (CL) https://www.ebi.ac.uk/ols/ontologies/cl.<br><br>Be as specific as possible.",Recommended,Recommended,"Text, URL","Granulocytes, epithelial, endothelial, astrocyte"
CellLine,"A cell line is defined as a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e., has been successively passaged together in culture).<br><br>Ref: Sarntivijai, Sirarat, et al. 2014. “CLO: The Cell Line Ontology.” Journal of Biomedical Semantics 5(1):37. doi: 10.1186/2041-1480-5-37.<br> If co-culture or complex or mixed culture, mention ""mixed culture""",Recommended,Recommended,Text,NA
