"Field name","Description","Field Type","Data Type","Examples"
"Experiment_ID","The experiment ID – the syntax to be decided by WP5. Can be extrapolated from the the MethodNameID. Used for internal reference.","Recommended","String",NA
"CellType","Describe as per the following resources: atlases/Pan_Immune_CellTypist/v2/encyclopedia/encyclopedia_table.xlsx of the CellTypist<br><br>HuBMAP Common Coordinate Framework (CCF) ASCT+B tables<br><br>Cell Ontology.","Recommended","Text, url","Granulocytes, epithelial"
"CellTypeOntologyID","Cell Ontology (CL) term.(http://www.ebi.ac.uk/ols4/ontologies/cl).","Recommended","Text","CL: 0010006"
"CellLine","A cell line is defined as a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture). Ref: Sarntivijai, Sirarat, et al. 2014. “CLO: The Cell Line Ontology.” Journal of Biomedical Semantics 5(1):37. doi: 10.1186/2041-1480-5-37.","Mandatory","Text, URL","HepG2, A549, hiPS - Human induced-pluripotent stem cells, 293FT,Human embryonic stem cell (hESC)"
"CellLineOntologyID","Cell Line Ontology<br><br>Ref: https://www.ebi.ac.uk/ols4/ontologies/clo","Recommended","Text","CLO:0050126 for RCB0027 cell which is an immortal human cell line cell that has the characteristics: Chronic myelogenous leukemia, sensitive to NK cell. Differentiate to erythroid cells"
"CellLineGroup","The replication capability of the cell line","Optional","Text","finite, continuous, immortalized, stem cell lines"
"CellProvider","Name of the company or lab or repository providing the cells","Mandatory","Text","Invitrogen, ThermoFisher, ECACC"
"CellCatalogueNumber","The unique identifier of a cell line (e.g., ATCC, ECACC, DMSZ, UKSCB designations).","Recommended","String","84101003, HB-8065, R70007,  PCS-450-012"
"CellBatchNumber","Provide the batch number of the cells procured.","Mandatory","String",NA
"CellLineDesignation","The identification provided when the test systems is sourced from recognised cell culture banks (e.g. ATCC, ECACC, DMSZ, UKSCB. Cell lines can have different designation when cultured in house and not procured from external cell culture bank.","Mandatory","Text","HeLa, CCL-2,Hep G2 [HEPG2]"
"CellLlineDesignationRRID","Research Resource ID (RRID) from Cellosaurus (https://www.cellosaurus.org/index.html)","Optional","String","RRID:CVCL_0030,RRID:CVCL_0027"
"CultureMediumComposition","Describe the cell culture medium composition briefly with key components, such as serum type and percentage, antibiotics.","Mandatory","Text","Roswell Park Memorial Institute Medium (RPMI 1640) supplemented with 10 % (v/v) Fetal Bovine Serum (FBS) heat-inactivated, 100 U/mL penicillin, 100 μg/mL streptomycin, and 4 mM/L glutamine"
"CellMediumSupplierCatalogueNumber","Name of the company from which medium was procured along with catalogue number","Recommended","Text","ThermoFisher (11965 - DMEM, high glucose)"
"SerumPercentage","Percentage of serum used in the cell culture media, if used. Avoid adding percentage symbol after reporting the data.","Conditionally required","Numeric",NA
"SerumCatalogueNumber","Catalogue number of the serum procured","Recommended","String; weblink","A5256701; https://www.thermofisher.com/order/catalog/product/A5256701"
"SerumSource","Serum supplier","Recommended","Text","ThermoFisher Scientific"
"SerumLotNumber","Provide the lot/control number for the serum","Recommended","String",NA
"HeatInactivation","Mention in only “no or yes” as a response whether serum was subjected to heat","Mandatory","Text",NA
"MediumAdditive1","Mention the additives to the cell culture medium.","Recommended","String",NA
