Field name,Description,Field Type Closed,Field Type Ongoing,Data Type,Examples
PositiveControlCommonName,Common/widely used name of the chemical/substance used as positive control,Mandatory,Mandatory,Text,NA
PositiveControlChemicalName,"Full chemical name as per IUPAC, if available. If unavailable, mention ""NotAvailable""",Mandatory,Mandatory,Text,NA
PositiveControlDescription,Briefly describe why this substance is chosen as positive control.,Mandatory,Mandatory,Text,NA
PositiveControlCASRegistryName,"The name of the substance used as positive control, if available, in the CAS Registry.",Recommended,Recommended,Text,NA
PositiveControlCASRegistryNumber,The unique numeric identifier for the substance used as positive control if available in the CAS registry,Recommended,Recommended,String,NA
PositiveControlSMILES,The SMILE (Simplified Molecular-Input Line-Entry System) string for the substance used as positive control,Optional,Recommended,String,NA
PositiveControlInChI,The “International Chemical Identifier” for the substance used as positive control,Optional,Recommended,String,NA
PositiveControlInChIKey,The hashed version of InChI,Optional,Recommended,String,SDDLEVPIDBLVHC-UHFFFAOYSA-N
PositiveControlSupplier,The name of the company from whom the substance used as positive control was purchased/procured.,Recommended,Recommended,Text,NA
PositiveControlProductNumber,The product number/catalogue number of the test substance as used in the study,Optional,Recommended,String,NA
PositiveControlPortfolioBrand,"Provide the name of the portfolio brand, if any",Optional,Recommended,Text,NA
PositiveControlBatchNumber,"The batch number of the substance used as positive control. If not available, mention “Not Available”",Optional,Recommended,String,NA
PositiveControlForm,"The physical form of the substance used as positive control (powder, crystals, in solution)",Optional,Optional,Text,NA
PositiveControlFormDescription,"The solution in which the compound was purchased and its concentration, if the compound was procured in solution form.",Conditionally required,Conditionally required,Text,NA
PositiveControlPurity,"The percentage purity of the substance used as positive control. Provide quantitative information. Qualitative information such as ""reagent grade"" is not considered sufficient. Do not add percentage symbol.",Optional,Recommended,Text,NA
